metro_code,series_id,year,period,value,footnotes
31080,SMS06310800000000001,2024,M12,6303.0,[{}]
31080,SMS06310800000000001,2024,M11,6284.9,[{}]
31080,SMS06310800000000001,2024,M10,6282.0,[{}]
31080,SMS06310800000000001,2024,M09,6267.0,[{}]
31080,SMS06310800000000001,2024,M08,6275.7,[{}]
31080,SMS06310800000000001,2024,M07,6274.1,[{}]
31080,SMS06310800000000001,2024,M06,6259.1,[{}]
31080,SMS06310800000000001,2024,M05,6271.2,[{}]
31080,SMS06310800000000001,2024,M04,6277.5,[{}]
31080,SMS06310800000000001,2024,M03,6291.0,[{}]
31080,SMS06310800000000001,2024,M02,6287.8,[{}]
31080,SMS06310800000000001,2024,M01,6313.5,[{}]
31080,SMS06310800000000001,2023,M12,6252.0,[{}]
31080,SMS06310800000000001,2023,M11,6233.4,[{}]
31080,SMS06310800000000001,2023,M10,6233.0,[{}]
31080,SMS06310800000000001,2023,M09,6230.1,[{}]
31080,SMS06310800000000001,2023,M08,6223.5,[{}]
31080,SMS06310800000000001,2023,M07,6222.6,[{}]
31080,SMS06310800000000001,2023,M06,6234.0,[{}]
31080,SMS06310800000000001,2023,M05,6234.1,[{}]
31080,SMS06310800000000001,2023,M04,6217.9,[{}]
31080,SMS06310800000000001,2023,M03,6220.4,[{}]
31080,SMS06310800000000001,2023,M02,6218.3,[{}]
31080,SMS06310800000000001,2023,M01,6224.0,[{}]
31080,SMS06310800000000001,2022,M12,6228.6,[{}]
31080,SMS06310800000000001,2022,M11,6229.3,[{}]
31080,SMS06310800000000001,2022,M10,6228.5,[{}]
31080,SMS06310800000000001,2022,M09,6229.6,[{}]
31080,SMS06310800000000001,2022,M08,6229.0,[{}]
31080,SMS06310800000000001,2022,M07,6226.0,[{}]
31080,SMS06310800000000001,2022,M06,6206.5,[{}]
31080,SMS06310800000000001,2022,M05,6197.0,[{}]
31080,SMS06310800000000001,2022,M04,6193.6,[{}]
31080,SMS06310800000000001,2022,M03,6166.4,[{}]
31080,SMS06310800000000001,2022,M02,6147.7,[{}]
31080,SMS06310800000000001,2022,M01,6093.9,[{}]
31080,SMS06310800000000001,2021,M12,6099.8,[{}]
31080,SMS06310800000000001,2021,M11,6090.2,[{}]
31080,SMS06310800000000001,2021,M10,6064.7,[{}]
31080,SMS06310800000000001,2021,M09,5963.3,[{}]
31080,SMS06310800000000001,2021,M08,5992.1,[{}]
31080,SMS06310800000000001,2021,M07,5948.9,[{}]
31080,SMS06310800000000001,2021,M06,5869.9,[{}]
31080,SMS06310800000000001,2021,M05,5854.7,[{}]
31080,SMS06310800000000001,2021,M04,5811.2,[{}]
31080,SMS06310800000000001,2021,M03,5736.7,[{}]
31080,SMS06310800000000001,2021,M02,5681.5,[{}]
31080,SMS06310800000000001,2021,M01,5600.0,[{}]
31080,SMS06310800000000001,2020,M12,5635.9,[{}]
31080,SMS06310800000000001,2020,M11,5684.5,[{}]
31080,SMS06310800000000001,2020,M10,5654.6,[{}]
31080,SMS06310800000000001,2020,M09,5552.1,[{}]
31080,SMS06310800000000001,2020,M08,5504.5,[{}]
31080,SMS06310800000000001,2020,M07,5492.3,[{}]
31080,SMS06310800000000001,2020,M06,5468.7,[{}]
31080,SMS06310800000000001,2020,M05,5294.5,[{}]
31080,SMS06310800000000001,2020,M04,5257.8,[{}]
31080,SMS06310800000000001,2020,M03,6236.1,[{}]
31080,SMS06310800000000001,2020,M02,6317.4,[{}]
31080,SMS06310800000000001,2020,M01,6310.2,[{}]
41860,SMS06418600000000001,2024,M12,2441.6,[{}]
41860,SMS06418600000000001,2024,M11,2440.6,[{}]
41860,SMS06418600000000001,2024,M10,2438.5,[{}]
41860,SMS06418600000000001,2024,M09,2434.1,[{}]
