metro_code,series_id,year,period,value,footnotes
31080,ENUC310840510,2024,Q04,1687.0,[{}]
31080,ENUC310840510,2024,Q03,1470.0,[{}]
31080,ENUC310840510,2024,Q02,1486.0,[{}]
31080,ENUC310840510,2024,Q01,1589.0,[{}]
31080,ENUC310840510,2023,Q04,1628.0,[{}]
31080,ENUC310840510,2023,Q03,1426.0,[{}]
31080,ENUC310840510,2023,Q02,1425.0,[{}]
31080,ENUC310840510,2023,Q01,1532.0,[{}]
31080,ENUC310840510,2022,Q04,1590.0,[{}]
31080,ENUC310840510,2022,Q03,1435.0,[{}]
31080,ENUC310840510,2022,Q02,1399.0,[{}]
31080,ENUC310840510,2022,Q01,1470.0,[{}]
31080,ENUC310840510,2021,Q04,1655.0,[{}]
31080,ENUC310840510,2021,Q03,1379.0,[{}]
31080,ENUC310840510,2021,Q02,1368.0,[{}]
31080,ENUC310840510,2021,Q01,1419.0,[{}]
31080,ENUC310840510,2020,Q04,1582.0,[{}]
31080,ENUC310840510,2020,Q03,1296.0,[{}]
31080,ENUC310840510,2020,Q02,1299.0,[{}]
31080,ENUC310840510,2020,Q01,1310.0,[{}]
41860,ENUC418640510,2024,Q04,2700.0,[{}]
41860,ENUC418640510,2024,Q03,2489.0,[{}]
41860,ENUC418640510,2024,Q02,2523.0,[{}]
41860,ENUC418640510,2024,Q01,2981.0,[{}]
41860,ENUC418640510,2023,Q04,2558.0,[{}]
41860,ENUC418640510,2023,Q03,2393.0,[{}]
41860,ENUC418640510,2023,Q02,2399.0,[{}]
41860,ENUC418640510,2023,Q01,2766.0,[{}]
41860,ENUC418640510,2022,Q04,2372.0,[{}]
41860,ENUC418640510,2022,Q03,2335.0,[{}]
41860,ENUC418640510,2022,Q02,2300.0,[{}]
41860,ENUC418640510,2022,Q01,2620.0,[{}]
41860,ENUC418640510,2021,Q04,2804.0,[{}]
41860,ENUC418640510,2021,Q03,2560.0,[{}]
41860,ENUC418640510,2021,Q02,2523.0,[{}]
41860,ENUC418640510,2021,Q01,2747.0,[{}]
41860,ENUC418640510,2020,Q04,2715.0,[{}]
41860,ENUC418640510,2020,Q03,2232.0,[{}]
41860,ENUC418640510,2020,Q02,2177.0,[{}]
