state_fips,series_id,year,period,value,footnotes
06,LAUST060000000000003,2024,M12,5.2,[{}]
06,LAUST060000000000003,2024,M11,5.4,[{}]
06,LAUST060000000000003,2024,M10,5.3,[{}]
06,LAUST060000000000003,2024,M09,5.2,[{}]
06,LAUST060000000000003,2024,M08,5.9,[{}]
06,LAUST060000000000003,2024,M07,5.9,[{}]
06,LAUST060000000000003,2024,M06,5.4,[{}]
06,LAUST060000000000003,2024,M05,4.7,[{}]
06,LAUST060000000000003,2024,M04,4.8,[{}]
06,LAUST060000000000003,2024,M03,5.2,[{}]
06,LAUST060000000000003,2024,M02,5.4,[{}]
06,LAUST060000000000003,2024,M01,5.4,[{}]
06,LAUST060000000000003,2023,M12,4.9,[{}]
06,LAUST060000000000003,2023,M11,4.8,[{}]
06,LAUST060000000000003,2023,M10,4.9,[{}]
06,LAUST060000000000003,2023,M09,4.8,[{}]
06,LAUST060000000000003,2023,M08,5.1,[{}]
06,LAUST060000000000003,2023,M07,4.8,[{}]
06,LAUST060000000000003,2023,M06,4.7,[{}]
06,LAUST060000000000003,2023,M05,4.3,[{}]
06,LAUST060000000000003,2023,M04,4.1,[{}]
06,LAUST060000000000003,2023,M03,4.7,[{}]
06,LAUST060000000000003,2023,M02,4.8,[{}]
06,LAUST060000000000003,2023,M01,4.7,[{}]
06,LAUST060000000000003,2022,M12,4.0,[{}]
06,LAUST060000000000003,2022,M11,4.1,[{}]
06,LAUST060000000000003,2022,M10,4.0,[{}]
06,LAUST060000000000003,2022,M09,3.8,[{}]
06,LAUST060000000000003,2022,M08,4.2,[{}]
06,LAUST060000000000003,2022,M07,4.1,[{}]
06,LAUST060000000000003,2022,M06,4.2,[{}]
06,LAUST060000000000003,2022,M05,3.7,[{}]
06,LAUST060000000000003,2022,M04,4.0,[{}]
06,LAUST060000000000003,2022,M03,4.5,[{}]
06,LAUST060000000000003,2022,M02,5.0,[{}]
06,LAUST060000000000003,2022,M01,5.6,[{}]
06,LAUST060000000000003,2021,M12,5.0,[{}]
06,LAUST060000000000003,2021,M11,5.4,[{}]
06,LAUST060000000000003,2021,M10,5.9,[{}]
06,LAUST060000000000003,2021,M09,6.3,[{}]
