cbsa_code,date,employment
31080,2024-12-01,6303.0
31080,2024-11-01,6284.9
31080,2024-10-01,6282.0
31080,2024-09-01,6267.0
31080,2024-08-01,6275.7
31080,2024-07-01,6274.1
31080,2024-06-01,6259.1
31080,2024-05-01,6271.2
31080,2024-04-01,6277.5
31080,2024-03-01,6291.0
31080,2024-02-01,6287.8
31080,2024-01-01,6313.5
31080,2023-12-01,6252.0
31080,2023-11-01,6233.4
31080,2023-10-01,6233.0
31080,2023-09-01,6230.1
31080,2023-08-01,6223.5
31080,2023-07-01,6222.6
31080,2023-06-01,6234.0
31080,2023-05-01,6234.1
31080,2023-04-01,6217.9
31080,2023-03-01,6220.4
31080,2023-02-01,6218.3
31080,2023-01-01,6224.0
31080,2022-12-01,6228.6
31080,2022-11-01,6229.3
31080,2022-10-01,6228.5
31080,2022-09-01,6229.6
31080,2022-08-01,6229.0
31080,2022-07-01,6226.0
31080,2022-06-01,6206.5
31080,2022-05-01,6197.0
31080,2022-04-01,6193.6
31080,2022-03-01,6166.4
31080,2022-02-01,6147.7
31080,2022-01-01,6093.9
31080,2021-12-01,6099.8
31080,2021-11-01,6090.2
31080,2021-10-01,6064.7
31080,2021-09-01,5963.3
31080,2021-08-01,5992.1
31080,2021-07-01,5948.9
31080,2021-06-01,5869.9
31080,2021-05-01,5854.7
31080,2021-04-01,5811.2
31080,2021-03-01,5736.7
31080,2021-02-01,5681.5
31080,2021-01-01,5600.0
31080,2020-12-01,5635.9
31080,2020-11-01,5684.5
31080,2020-10-01,5654.6
31080,2020-09-01,5552.1
31080,2020-08-01,5504.5
31080,2020-07-01,5492.3
31080,2020-06-01,5468.7
31080,2020-05-01,5294.5
31080,2020-04-01,5257.8
31080,2020-03-01,6236.1
31080,2020-02-01,6317.4
31080,2020-01-01,6310.2
41860,2024-12-01,2441.6
41860,2024-11-01,2440.6
41860,2024-10-01,2438.5
41860,2024-09-01,2434.1
41860,2024-08-01,2431.1
41860,2024-07-01,2438.0
41860,2024-06-01,2437.4
41860,2024-05-01,2445.0
41860,2024-04-01,2444.1
41860,2024-03-01,2447.9
41860,2024-02-01,2448.8
41860,2024-01-01,2467.3
41860,2023-12-01,2450.4
41860,2023-11-01,2450.5
41860,2023-10-01,2453.5
41860,2023-09-01,2459.6
41860,2023-08-01,2455.3
41860,2023-07-01,2453.3
41860,2023-06-01,2463.3
41860,2023-05-01,2465.4
41860,2023-04-01,2467.2
41860,2023-03-01,2465.9
41860,2023-02-01,2469.6
41860,2023-01-01,2472.5
41860,2022-12-01,2474.0
41860,2022-11-01,2478.0
41860,2022-10-01,2473.5
41860,2022-09-01,2475.9
41860,2022-08-01,2476.8
41860,2022-07-01,2471.1
41860,2022-06-01,2469.3
41860,2022-05-01,2462.0
41860,2022-04-01,2455.2
41860,2022-03-01,2452.8
41860,2022-02-01,2441.8
41860,2022-01-01,2430.7
41860,2021-12-01,2425.2
41860,2021-11-01,2412.0
41860,2021-10-01,2404.6
41860,2021-09-01,2365.8
41860,2021-08-01,2361.7
41860,2021-07-01,2347.9
41860,2021-06-01,2321.3
41860,2021-05-01,2310.8
41860,2021-04-01,2297.9
41860,2021-03-01,2277.3
41860,2021-02-01,2260.8
41860,2021-01-01,2237.3
41860,2020-12-01,2246.1
41860,2020-11-01,2255.8
41860,2020-10-01,2249.7
41860,2020-09-01,2227.3
41860,2020-08-01,2212.6
41860,2020-07-01,2197.5
41860,2020-06-01,2190.7
41860,2020-05-01,2151.2
41860,2020-04-01,2114.5
41860,2020-03-01,2495.5
41860,2020-02-01,2522.4
41860,2020-01-01,2518.9
41740,2024-12-01,1566.3
41740,2024-11-01,1560.0
41740,2024-10-01,1561.3
41740,2024-09-01,1551.5
41740,2024-08-01,1555.3
41740,2024-07-01,1556.6
41740,2024-06-01,1554.4
41740,2024-05-01,1554.6
41740,2024-04-01,1556.2
41740,2024-03-01,1557.7
41740,2024-02-01,1557.0
41740,2024-01-01,1566.3
