STATE,COUNTY,STNAME,CTYNAME,year_col,population,year,date
1,0,Alabama,Alabama,POPESTIMATE2020,5031864,2020,2020-01-01
1,1,Alabama,Autauga County,POPESTIMATE2020,58915,2020,2020-01-01
1,3,Alabama,Baldwin County,POPESTIMATE2020,233227,2020,2020-01-01
1,5,Alabama,Barbour County,POPESTIMATE2020,24969,2020,2020-01-01
1,7,Alabama,Bibb County,POPESTIMATE2020,22188,2020,2020-01-01
1,9,Alabama,Blount County,POPESTIMATE2020,59107,2020,2020-01-01
1,11,Alabama,Bullock County,POPESTIMATE2020,10229,2020,2020-01-01
1,13,Alabama,Butler County,POPESTIMATE2020,19025,2020,2020-01-01
1,15,Alabama,Calhoun County,POPESTIMATE2020,116243,2020,2020-01-01
1,17,Alabama,Chambers County,POPESTIMATE2020,34651,2020,2020-01-01
1,19,Alabama,Cherokee County,POPESTIMATE2020,24969,2020,2020-01-01
1,21,Alabama,Chilton County,POPESTIMATE2020,45057,2020,2020-01-01
1,23,Alabama,Choctaw County,POPESTIMATE2020,12626,2020,2020-01-01
1,25,Alabama,Clarke County,POPESTIMATE2020,22987,2020,2020-01-01
1,27,Alabama,Clay County,POPESTIMATE2020,14212,2020,2020-01-01
1,29,Alabama,Cleburne County,POPESTIMATE2020,15064,2020,2020-01-01
1,31,Alabama,Coffee County,POPESTIMATE2020,53549,2020,2020-01-01
1,33,Alabama,Colbert County,POPESTIMATE2020,57304,2020,2020-01-01
1,35,Alabama,Conecuh County,POPESTIMATE2020,11554,2020,2020-01-01
1,37,Alabama,Coosa County,POPESTIMATE2020,10335,2020,2020-01-01
1,39,Alabama,Covington County,POPESTIMATE2020,37506,2020,2020-01-01
1,41,Alabama,Crenshaw County,POPESTIMATE2020,13163,2020,2020-01-01
1,43,Alabama,Cullman County,POPESTIMATE2020,88136,2020,2020-01-01
1,45,Alabama,Dale County,POPESTIMATE2020,49257,2020,2020-01-01
1,47,Alabama,Dallas County,POPESTIMATE2020,38171,2020,2020-01-01
1,49,Alabama,DeKalb County,POPESTIMATE2020,71659,2020,2020-01-01
1,51,Alabama,Elmore County,POPESTIMATE2020,87861,2020,2020-01-01
1,53,Alabama,Escambia County,POPESTIMATE2020,36685,2020,2020-01-01
1,55,Alabama,Etowah County,POPESTIMATE2020,103453,2020,2020-01-01
1,57,Alabama,Fayette County,POPESTIMATE2020,16331,2020,2020-01-01
1,59,Alabama,Franklin County,POPESTIMATE2020,32078,2020,2020-01-01
1,61,Alabama,Geneva County,POPESTIMATE2020,26698,2020,2020-01-01
1,63,Alabama,Greene County,POPESTIMATE2020,7700,2020,2020-01-01
1,65,Alabama,Hale County,POPESTIMATE2020,14772,2020,2020-01-01
1,67,Alabama,Henry County,POPESTIMATE2020,17169,2020,2020-01-01
1,69,Alabama,Houston County,POPESTIMATE2020,107284,2020,2020-01-01
1,71,Alabama,Jackson County,POPESTIMATE2020,52545,2020,2020-01-01
1,73,Alabama,Jefferson County,POPESTIMATE2020,674717,2020,2020-01-01
1,75,Alabama,Lamar County,POPESTIMATE2020,13953,2020,2020-01-01
1,77,Alabama,Lauderdale County,POPESTIMATE2020,94025,2020,2020-01-01
1,79,Alabama,Lawrence County,POPESTIMATE2020,33089,2020,2020-01-01
1,81,Alabama,Lee County,POPESTIMATE2020,174754,2020,2020-01-01
1,83,Alabama,Limestone County,POPESTIMATE2020,104203,2020,2020-01-01
1,85,Alabama,Lowndes County,POPESTIMATE2020,10285,2020,2020-01-01
1,87,Alabama,Macon County,POPESTIMATE2020,19464,2020,2020-01-01
1,89,Alabama,Madison County,POPESTIMATE2020,390503,2020,2020-01-01
1,91,Alabama,Marengo County,POPESTIMATE2020,19270,2020,2020-01-01
1,93,Alabama,Marion County,POPESTIMATE2020,29176,2020,2020-01-01
1,95,Alabama,Marshall County,POPESTIMATE2020,97702,2020,2020-01-01
1,97,Alabama,Mobile County,POPESTIMATE2020,414377,2020,2020-01-01
1,99,Alabama,Monroe County,POPESTIMATE2020,19706,2020,2020-01-01
1,101,Alabama,Montgomery County,POPESTIMATE2020,228342,2020,2020-01-01
1,103,Alabama,Morgan County,POPESTIMATE2020,123288,2020,2020-01-01
1,105,Alabama,Perry County,POPESTIMATE2020,8458,2020,2020-01-01
1,107,Alabama,Pickens County,POPESTIMATE2020,18969,2020,2020-01-01
1,109,Alabama,Pike County,POPESTIMATE2020,32900,2020,2020-01-01
1,111,Alabama,Randolph County,POPESTIMATE2020,22086,2020,2020-01-01
1,113,Alabama,Russell County,POPESTIMATE2020,59258,2020,2020-01-01
1,115,Alabama,St. Clair County,POPESTIMATE2020,91657,2020,2020-01-01
1,117,Alabama,Shelby County,POPESTIMATE2020,223912,2020,2020-01-01
1,119,Alabama,Sumter County,POPESTIMATE2020,12191,2020,2020-01-01
1,121,Alabama,Talladega County,POPESTIMATE2020,81575,2020,2020-01-01
1,123,Alabama,Tallapoosa County,POPESTIMATE2020,41284,2020,2020-01-01
1,125,Alabama,Tuscaloosa County,POPESTIMATE2020,231547,2020,2020-01-01
1,127,Alabama,Walker County,POPESTIMATE2020,65138,2020,2020-01-01
1,129,Alabama,Washington County,POPESTIMATE2020,15329,2020,2020-01-01
1,131,Alabama,Wilcox County,POPESTIMATE2020,10534,2020,2020-01-01
1,133,Alabama,Winston County,POPESTIMATE2020,23493,2020,2020-01-01
2,0,Alaska,Alaska,POPESTIMATE2020,732964,2020,2020-01-01
2,13,Alaska,Aleutians East Borough,POPESTIMATE2020,3427,2020,2020-01-01
2,16,Alaska,Aleutians West Census Area,POPESTIMATE2020,5214,2020,2020-01-01
2,20,Alaska,Anchorage Municipality,POPESTIMATE2020,290893,2020,2020-01-01
2,50,Alaska,Bethel Census Area,POPESTIMATE2020,18661,2020,2020-01-01
2,60,Alaska,Bristol Bay Borough,POPESTIMATE2020,830,2020,2020-01-01
2,63,Alaska,Chugach Census Area,POPESTIMATE2020,7080,2020,2020-01-01
2,66,Alaska,Copper River Census Area,POPESTIMATE2020,2614,2020,2020-01-01
2,68,Alaska,Denali Borough,POPESTIMATE2020,1614,2020,2020-01-01
2,70,Alaska,Dillingham Census Area,POPESTIMATE2020,4838,2020,2020-01-01
2,90,Alaska,Fairbanks North Star Borough,POPESTIMATE2020,95337,2020,2020-01-01
2,100,Alaska,Haines Borough,POPESTIMATE2020,2084,2020,2020-01-01
2,105,Alaska,Hoonah-Angoon Census Area,POPESTIMATE2020,2358,2020,2020-01-01
2,110,Alaska,Juneau City and Borough,POPESTIMATE2020,32209,2020,2020-01-01
2,122,Alaska,Kenai Peninsula Borough,POPESTIMATE2020,58942,2020,2020-01-01
2,130,Alaska,Ketchikan Gateway Borough,POPESTIMATE2020,13915,2020,2020-01-01
2,150,Alaska,Kodiak Island Borough,POPESTIMATE2020,13047,2020,2020-01-01
2,158,Alaska,Kusilvak Census Area,POPESTIMATE2020,8371,2020,2020-01-01
